"1518468465-196","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/static-stripe-top","//d17ol771963kd3.cloudfront.net/143927/zo/wlcXgywq_NM1.jpg","Static Stripe Top","All cotton jersey"
"1518468673-294","http://www.supremenewyork.com/previews/springsummer2018/all/","jackets","http://www.supremenewyork.com/previews/springsummer2018/all/jackets","","http://www.supremenewyork.com/previews/springsummer2018/jackets/washed-work-trench-coat-4","//d17ol771963kd3.cloudfront.net/142498/zo/-jxddLpSm0M.jpg","Washed Work Trench Coat","All cotton denim with button front closure and embroidered logo on chest."
"1518468413-172","http://www.supremenewyork.com/previews/springsummer2018/all/","sweatshirts","http://www.supremenewyork.com/previews/springsummer2018/all/sweatshirts","","http://www.supremenewyork.com/previews/springsummer2018/sweatshirts/reverse-fleece-hooded-sweatshirt","//d17ol771963kd3.cloudfront.net/143365/zo/MbvuOE1JDA9.jpg","Reverse Fleece Hooded Sweatshirt","Cotton reverse fleece"
"1518468398-165","http://www.supremenewyork.com/previews/springsummer2018/all/","sweatshirts","http://www.supremenewyork.com/previews/springsummer2018/all/sweatshirts","","http://www.supremenewyork.com/previews/springsummer2018/sweatshirts/bless-hooded-sweatshirt","//d17ol771963kd3.cloudfront.net/143760/zo/FaXm0bdnK65.jpg","Bless Hooded Sweatshirt","Cotton fleece"
"1518468855-382","http://www.supremenewyork.com/previews/springsummer2018/all/","jackets","http://www.supremenewyork.com/previews/springsummer2018/all/jackets","","http://www.supremenewyork.com/previews/springsummer2018/jackets/patches-denim-trucker-jacket-3","//d17ol771963kd3.cloudfront.net/144342/zo/jp6wJHX1CIY2.jpg","Patches Denim Trucker Jacket","All cotton denim with button front closure and custom patches on front, back and sleeves. Hand pockets at lower front and chest pockets with button closures."
"1518468544-234","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/multi-stripe-terry-tee","//d17ol771963kd3.cloudfront.net/143947/zo/9iEUnblLZX9.jpg","Multi Stripe Terry Tee","All cotton terry"
"1518468583-253","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/bandana-sweater-3","//d17ol771963kd3.cloudfront.net/144599/zo/cYsp_41xUHk.jpg","Bandana Sweater",""
"1518468125-39","http://www.supremenewyork.com/previews/springsummer2018/all/","accessories","http://www.supremenewyork.com/previews/springsummer2018/all/accessories","","http://www.supremenewyork.com/previews/springsummer2018/accessories/supreme-sog-hand-axe","//d17ol771963kd3.cloudfront.net/145917/zo/-jT7AJBeXqg.jpg","Supreme®/SOG® Hand Axe","Powder coated stainless steel with 2.4"" blade."
"1518468622-271","http://www.supremenewyork.com/previews/springsummer2018/all/","shirts","http://www.supremenewyork.com/previews/springsummer2018/all/shirts","","http://www.supremenewyork.com/previews/springsummer2018/shirts/world-famous-rayon-shirt","//d17ol771963kd3.cloudfront.net/143139/zo/15sgaKS5f6E1.jpg","World Famous Rayon Shirt","Rayon"
"1518468212-79","http://www.supremenewyork.com/previews/springsummer2018/all/","hats","http://www.supremenewyork.com/previews/springsummer2018/all/hats","","http://www.supremenewyork.com/previews/springsummer2018/hats/mesh-side-panel-camp-cap","//d17ol771963kd3.cloudfront.net/144795/zo/9ugCYuVYpH4.jpg","Mesh Side Panel Camp Cap",""
